,Ticker,MarketCap,AvgVol,Turnover
342,0360.HK,2.332B,2244300,4904553.62672
343,0361.HK,276.0M,1593730,586174.969078
344,0362.HK,651.0M,3862120,1155573.71219
345,0363.HK,25.559B,1011600,30152182.1408
346,0364.HK,1.497B,29334800,6182015.91846
347,0365.HK,262.5M,701199,416491.925278
348,0366.HK,1.055B,131002,403143.483333
349,0367.HK,1.653B,487374,724940.955046
350,0368.HK,8.942B,1258480,5854305.53568
351,0369.HK,6.360B,95482,318703.889427
352,0370.HK,340.5M,9937280,290623.594032
353,0371.HK,45.271B,20095400,111613515.189
354,0372.HK,774.7M,936635,754124.554896
355,0373.HK,6.378B,18882,1674925.09538
356,0374.HK,1.870B,49169,1082411.36951
357,0375.HK,2.785B,31662,909158.943544
358,0376.HK,1.107B,89175,68659.6928646
359,0377.HK,759.5M,3297790,1498304.33333
360,0378.HK,935.0M,296094,689291.783647
361,0379.HK,2.861B,1516940,2323216.22131
362,0380.HK,400.0M,9910780,289357.124103
363,0381.HK,505.4M,8094080,988042.910417
364,0382.HK,6.343B,1887740,6098699.81215
365,0383.HK,961.1M,34911,380154.454452
366,0384.HK,74.141B,6507610,75326556.658
367,0385.HK,357.0M,189894,111494.221076
368,0386.HK,188.3B,85255696,641219107.456
369,0387.HK,213.1M,23463,44948.2757184
370,0388.HK,168.0B,5570320,457008398.671
371,0389.HK,654.2M,1610850,976472.071094
372,0390.HK,15.987B,16076700,68123231.3206
373,0391.HK,3.098B,42260600,2579476.92767
374,0392.HK,93.090B,949518,73195650.9996
375,0393.HK,1.769B,217374,635124.734444
376,0395.HK,968.4M,7751420,3459860.18984
377,0396.HK,421.1M,107164,44275.75
378,0397.HK,480.3M,158512000,20523591.2029
379,0398.HK,1.028B,510507,1411463.34805
380,0399.HK,1.409B,1742570,2588812.03175
381,0402.HK,1.305B,15969700,7585992.14844
382,0403.HK,225.8M,451450,191083.339149
383,0404.HK,2.972B,1464800,4344349.9688
384,0405.HK,10.360B,2555720,14967021.6773
385,0406.HK,696.4M,140490,302509.571632
386,0408.HK,2.877B,329668,1656242.59573
387,0410.HK,31.296B,5006270,32968501.0406
388,0411.HK,1.871B,13003,131658.02125
389,0412.HK,1.807B,550126,2032807.00579
390,0413.HK,2.033B,588935,145858.558611
391,0417.HK,638.4M,37184,257186.841562
392,0418.HK,496.8M,1885330,1950968.92734
394,0420.HK,1.119B,331000,1300736.61389
396,0422.HK,399.5M,193642,157710.871771
397,0423.HK,604.8M,63371,218583.563993
398,0425.HK,16.373B,2934530,23026285.7735
399,0426.HK,208.0M,142298,159166.28
400,0428.HK,144.3M,168143,169039.11293
401,0430.HK,334.8M,1032960,279807.786042
402,0431.HK,135.0M,143237,388956.226442
403,0432.HK,1.584B,2131980,6260492.0125
404,0433.HK,6.278B,18338900,5322443.95465
