,Ticker,MarketCap,AvgVol,Turnover
529,FCCN.L,59.0M,58097,9065745.90124
535,FDL.L,207.8M,19620,27964243.7222
537,FDSA.L,821.6M,19596,64475246.1967
539,FENR.L,670.4M,249312,164735151.034
542,FGP.L,1.571B,1521090,376015846.163
554,FLYB.L,260.0M,462792,78373210.2742
558,FOUR.L,165.0M,4641,18899353.728
560,FOXT.L,798.6M,480328,438723458.577
563,FQM.L,7.134B,5713,27989195.7494
564,FRES.L,6.348B,883094,1030545519.91
567,FRO.L,145.5M,6553,435380.856046
571,FSJ.L,700.7M,13064,44422610.6265
572,FSTA.L,523.0M,3789,13014401.1118
573,FTC.L,25.7M,162615,11952088.0177
575,FTO.L,263.9M,685714,14815326.3377
578,FUTR.L,31.2M,226980,4654863.69567
580,FXPO.L,758.6M,507622,168158211.258
584,GAW.L,197.0M,8388,30067440.2541
595,GDWN.L,278.3M,213,5432447.09113
596,GEC.L,189.0B,9329,16593645.4195
600,GEMD.L,196.2M,40443,17849278.1059
601,GENL.L,2.692B,561963,-
603,GFRD.L,921.0M,71980,162444368.511
604,GFS.L,3.911B,3140052,1126432242.54
607,GHT.L,78.7M,15743,6351938.45891
609,GKN.L,6.051B,3032958,1513086444.61
611,GKP.L,826.1M,2591167,665869200.958
612,GLB.L,3.269B,16003,31725129.8895
613,GLE.L,200.5M,2365,6336366.9681
614,GLEN.L,42.586B,16194438,7342245144.01
619,GNC.L,1.074B,543474,341037445.711
621,GNK.L,1.823B,257192,254899266.384
622,GNS.L,672.8M,47962,103346930.257
624,GOG.L,1.006B,52117,111733141.388
627,GPG.L,499.5M,9167,27420798.2991
629,GPRT.L,33.0M,2222,869817.638697
632,GRG.L,528.6M,76354,99875484.1053
633,GRI.L,857.1M,355574,107676170.188
635,GRN.L,384.4M,53643,9135356.43284
637,GSK.L,75.219B,5650691,10591336436.6
648,HAS.L,2.065B,2460747,372810960.996
657,HDY.L,75.6M,59936,5569619.39874
658,HEAD.L,347.7M,150522,31345530.5756
661,HFD.L,938.9M,345065,200809913.896
662,HFG.L,368.0M,10503,27513197.9477
663,HGG.L,2.547B,1148530,311006197.327
668,HID.L,857K,0,0
669,HIK.L,3.287B,225338,296417481.543
