Ticker,MarketCap,Turnover
DRC,111.5M,50321412.4007
DRD,5.885B,513407.927025
DRH,6.161B,20087797.1018
DRI,30.7M,79244939.1439
DRN,4.363B,7845488.16883
DRR,14.726B,177036.790502
DSM,3.869B,971928.679373
DSU,2.728B,2138361.36009
DSW,898.2M,66311036.5579
DTD,13.814B,1664188.92262
DUG,51.657B,5060295.67943
DUK,2.749B,210889763.698
DV,15.392B,21661179.8289
DVA,105.1M,107208959.049
DVM,32.412B,657860.021215
DVN,135.3M,207134284.329
DVY,1.165B,51932716.1413
DWM,2.411B,1427103.62894
DWX,471.5M,8270254.18583
DXJ,1.040B,253492024.221
DY,3.482B,6129188.65655
DZZ,98.702B,2959907.21641
EAA,3.305B,564883.367441
EAT,401.4M,45667982.6663
EBF,4.031B,1411815.20659
EBS,75.840B,5867671.20976
EC,17.880B,18916522.2516
ECH,32.256B,11414622.931
ECON,128.0M,7897473.72913
ECT,16.707B,1069401.26803
EDD,1.088B,4558208.21746
EDI,283.2M,981717.673713
EDN,1.215B,715316.164615
EEP,2.292B,23354813.3316
EFA,610.1M,1076128503.53
EFV,8.786B,10318493.737
EGF,682.5M,446101.683514
EGL,6.443B,5105826.10912
EGN,5.031B,61735941.7415
EGO,1.977B,36577829.3879
EGPT,395.6M,1175014.33167
EIDO,670.2M,15538749.0882
EIS,18.752B,2155607.1378
EIX,1.171B,102670583.77
ELX,614.0M,8329546.42726
EMB,53.803B,83835332.3398
EMD,2.970B,1438527.61905
EMMT,13.100B,41121.1154214
EMO,219.2M,1491183.10778
EMQ,47.031B,84707.8465921
EMZ,39.403B,390351.818969
ENB,68.8M,35873723.9571
END,2.272B,4535172.94309
ENI,15.196B,9638576.99548
ENL,7.410B,2025637.26497
ENR,3.232B,56789164.0558
ENS,1.686B,20683404.0563
ENY,221.3M,246180.551106
ENZL,12.442B,1439927.43455
EOD,63.406B,1620000.55239
EPAM,8.019B,17225507.668
EPB,72.105B,27266430.0186
EPP,2.948B,36307408.018
EQL,4.604B,898637.795
EQM,22.759B,12211086.5439
EQS,16.221B,49125.4030659
EQT,194.2M,130448286.976
EQU,2.821B,1382298.50505
EQY,580.0M,11328487.8311
ERA,4.917B,2616702.87828
ERF,6.623B,11274444.8415
ESD,908.5M,2346792.5694
ESE,405.2M,3575332.4844
ESI,3.702B,15999891.4252
ESR,11.474B,591294.852383
ETB,32.436B,1008922.94048
ETG,717.6M,2607613.99183
ETJ,396.3M,2604472.33148
ETM,36.701B,677142.408501
ETO,18.285B,982652.729597
ETP,14.560B,53369181.226
EUSA,4.421B,1238395.45192
EV,533.8M,28796610.1574
EVC,2.481B,4341061.29808
EVN,2.016B,981392.865576
EVX,8.936B,44289.4128109
EWZS,1.214B,255738.092202
EXAM,31.103B,8866633.1658
EXG,2.970B,9071074.76494
EXI,540.9M,2517219.33146
EXK,631.6M,6497794.12344
EXP,1.378B,52047954.4692
EXPR,6.167B,31499850.1015
EZY,68.013B,112832.703473
FAB,101.2M,784178.005959
FAD,2.981B,343497.079215
FAZ,1.017B,128461999.545
FBP,5.525B,5672592.52648
FBT,344.8M,11099710.5398
FCHI,1.499B,134366.890725
FCN,1.976B,13945632.298
FCT,37.155B,1357718.04848
FDN,7.704B,25442815.0732
FDO,1.671B,104764473.414
FDP,4.921B,5470133.16017
FDX,14.441B,285343964.305
FEI,845.8M,2642126.8896
FEO,3.347B,407902.612057
FEZ,719.6M,66637749.3879
FGP,2.806B,4278337.27739
FHY,2.127B,528752.006241
FIF,1.539B,1168169.41775
FIG,3.085B,12326042.6803
FII,1.225B,19298366.6869
FIO,15.912B,40200083.3462
FIW,584.0M,1141673.82442
FLM,4.365B,93911.5362156
FLO,12.168B,24422390.942
FLR,10.444B,102152057.471
FLS,11.003B,75239883.608
FLT,1.239B,95914636.3019
FLTX,599.4M,19705591.6256
FLY,9.384B,3167667.68511
FMY,728.4M,256915.136805
FN,2.103B,3901293.13626
FNB,8.960B,11094150.7517
FRI,426.5M,2056171.88872
FRN,282.2M,575172.816551
FRO,8.099B,4452915.33508
