Ticker,MarketCap,AvgVol,Close,Turnover
ATRS,353.5M,1501930,3.9509090909,5933988.89091046
ATSG,537.8M,184997,7.4373160173,1375881.15125615
ATTU,114.8M,85372,9.0119313305,769366.601544885
ATVI,15.705B,6370940,18.5123809524,117941268.304883
AUBN,88.6M,1466,24.4981385281,35914.2710821946
AUDC,268.6M,273036,6.7808583691,1851418.44566559
AUXL,1.081B,1529400,21.8671428571,33443608.2856487
AVAV,697.3M,295409,29.4029437229,8685894.20223817
AVEO,86.8M,851859,1.7991774892,1532645.53675539
AVGO,17.847B,3365150,53.2729437229,179271446.569117
AVHI,363.9M,44909,17.8717316017,802601.594500745
AVID,291.9M,104970,6.9598701299,730577.567532454
AVNR,869.5M,2871200,4.2933333333,12327018.6666571
AVNW,73.3M,784905,1.967167382,1544039.51394516
AWAY,3.236B,2175830,35.2194805195,76631602.2987437
AWRE,126.7M,33634,5.6616450217,190423.768658176
AXAS,538.9M,2818910,3.6042857143,10160157.0428692
AXDX,1.247B,168758,15.0217748918,2535044.68719038
AXTI,70.7M,48889,2.3245887446,113646.819134261
AZPN,4.166B,698816,40.0813419913,28009483.0849923
BABY,761.6M,279064,21.1294805195,5896477.35169375
BAGL,290.9M,73381,16.0847639485,1180316.06330488
BAMM,30.4M,15269,2.3478540773,35849.3839055303
BANC,223.5M,363325,12.9090909091,4690195.45454876
BANF,954.1M,24962,55.7513419913,1391664.99878683
BANR,765.4M,99350,39.3561373391,3910032.24463959
BASI,20.4M,12114,2.2788311688,27605.7607792066
BBBY,11.164B,2842820,70.4822943723,200368476.087462
BBCN,1.258B,378691,15.5345887446,5882808.94628132
BBEP,2.634B,555356,19.6182683983,10895123.0646063
BBGI,134.2M,11939,8.2057142857,97968.0228570917
BBNK,346.8M,27164,20.244025974,549908.721557736
BBOX,355.6M,72120,26.3602575107,1901101.77167168
BBRG,306.0M,122170,15.444025974,1886796.65324358
BBRY,5.099B,14593900,8.4139393939,122792190.121221
BBSI,329.7M,77370,68.8405150215,5326190.64721345
BCBP,111.6M,4691,12.4078354978,58205.1563201798
BCOM,568.1M,2661,16.6730735931,44367.0488312391
BCOR,792.8M,641686,22.6769264069,14551466.198338
BCOV,329.0M,361267,11.1441991342,4026031.38861503
BCPC,1.611B,146256,54.7983982684,8014594.53714311
BCRX,738.2M,1065640,8.2806926407,8824237.30562489
BDBD,875.4M,613467,15.42004329,9459687.69698643
BDE,371.1M,104019,11.8756277056,1235290.91830881
BDGE,271.5M,22758,24.0122077922,546469.824934888
BDMS,33.0M,2230,18.0075965665,40156.940343295
BDSI,580.8M,741661,6.9615584416,5163116.39532583
BEAT,188.4M,361480,8.7803463204,3173919.58788012
BEAV,9.681B,1491940,82.9867099567,123811192.052799
BEBE,248.6M,477019,5.4726839827,2610574.24073403
BECN,1.625B,354209,36.8886147186,13066279.3308606
BELFA,284.0M,2286,19.5900865801,44782.9379221086
BELFB,289.2M,52059,20.4932618026,1066858.71618155
BERK,108.3M,2858,7.518111588,21486.7629184468
BEST,11.6M,9248,0.3580686695,3311.419055795
BFIN,213.8M,35719,9.4898712446,338968.710987296
BGCP,1.649B,1042070,6.3275757576,6593776.86970139
BGFV,268.2M,253080,16.3305627706,4132938.82598345
BGMD,39.2M,761270,1.0716450217,815811.205631496
BHLB,554.0M,74608,25.1116738197,1873531.76034018
