Ticker,Close,Vol,Turnover
TXPR,816.24,2237200,1826092128
TXSI,121.2,24810000,3006972000
U,4.81,112000,538720
UEX,0.42,123800,51996
UFS,46.37,24400,1131428
UNS,27.55,29800,820990
UNC,78,1100,85800
URB,1.82,12600,22932
URZ,1.56,200,312
URE,1.13,93100,105203
VCM,7.25,8300,60175
VEM,0.06,409300,24558
VET,73.51,344700,25338897
VFF,1.38,1700,2346
VGQ,12.19,4600,56074
VGZ,0.54,26700,14418
VIC,10.89,40800,444312
VLN,18.85,900,16965
VNP,4.07,57800,235246
VRX,135.29,298600,40397594
WB,18.07,45500,822185
WCP,16.39,1815200,29751128
WDN,0.29,4500,1305
WDO,0.83,24900,20667
WEF,2.16,595900,1287144
WEW,0.37,190600,70522
WFC,10.86,0,0
WFI,30.32,458500,13901720
WFS,2.7,600,1620
WFT,50.17,173000,8679410
WIN,3.35,51100,171185
WJA,26.05,407100,10604955
WJX,35.18,19300,678974
WLC,0.48,108500,52080
WM,0.1,10000,1000
WN,78.41,81900,6421779
WPK,25.52,56300,1436776
WPT,18.5,87400,1616900
WRN,0.86,102500,88150
WPX,0.42,92900,39018
WS,0.56,163700,91672
X,58,15400,893200
XAL,27.69,0,0
XBB,30.8,34800,1071840
XBM,14.24,200,2848
XCB,21.24,67100,1425204
XBZ,14.26,500,7130
XCH,19.19,2800,53732
XCG,26.36,600,15816
XCR,23.44,0,0
XCS,17.73,264600,4691358
XCV,24.67,800,19736
XDC,5.19,250400,1299576
XDV,25.39,46000,1167940
XEB,21.85,57700,1260745
XEG,20.85,218400,4553640
XEM,26.16,2300,60168
XEI,23.41,6800,159188
XFN,30.7,35400,1086780
XGB,21.32,11900,253708
XGC,28.74,0,0
XGR,26.61,0,0
XGD,12.05,269700,3249885
XHB,21.24,3100,65844
XHC,35.22,700,24654
XEN,21.82,300,6546
XHG,5.4,0,0
XHY,22.09,68800,1519792
XIC,23.75,56600,1344250
XIG,23.15,4500,104175
XIN,22.2,30300,672660
XID,23.5,3600,84600
XIT,9.38,4300,40334
XIU,21.61,1700000,36737000
XLA,17.47,0,0
XLB,22.46,5600,125776
XMA,14.1,28600,403260
XMD,26.08,77400,2018592
XPF,19.84,3000,59520
XQQ,31.7,200,6340
XRB,23.8,41000,975800
XRC,0.77,16400,12628
XRE,16.4,108900,1785960
XRG,0.22,36900,8118
XSP,22.47,266400,5986008
XSB,28.58,44900,1283242
XSR,7.21,30500,219905
XST,32.82,10600,347892
XTC,11.31,2600,29406
XSU,25.45,35700,908565
XTD,5.62,1600,8992
XTG,0.29,31700,9193
XTR,12.33,20000,246600
XUT,20.1,2100,42210
XWD,34.01,3900,132639
XYM,11.7,3200,37440
YCM,1.65,0,0
YRI,8.69,2537400,22050006
ZAG,15.55,7900,122845
ZAZ,0.51,2500,1275
ZCH,16.24,0,0
ZCM,16.07,9800,157486
ZCL,6.8,163700,1113160
ZCN,20.27,9000,182430
ZCS,14.8,31600,467680
ZDJ,29.02,4400,127688
ZEB,22.72,171100,3887392
ZEF,17.19,4100,70479
ZDM,18.22,14100,256902
ZEO,17.41,600,10446
ZEM,16.27,2300,37421
ZFL,16.76,700,11732
ZFM,16.15,0,0
ZFS,14.69,1300,19097
ZGI,29.32,2600,76232
ZHY,16.29,163600,2665044
ZID,15.11,3200,48352
ZJG,8.48,23600,200128
ZJN,32.39,193600,6270704
ZJO,29.61,24100,713601
ZLC,17.76,2400,42624
ZMI,16.61,1400,23254
ZMT,13.33,0,0
ZNC,0.13,57200,7436
ZPS,14.34,1600,22944
ZRE,19.87,13800,274206
ZQQ,29.65,1400,41510
ZRR,17.25,2900,50025
ZUB,20.59,10400,214136
ZUH,33.9,5000,169500
ZUE,30.03,800,24024
ZUT,15.59,11000,171490
ZWB,16.91,33200,561412
ZXB,14.93,0,0
ZXC,15.98,3000,47940
ZXD,16.34,0,0
