,Ticker,MarketCap,AvgVol,Turnover
323,FRE.DE,19.484B,308957,38909520.3952
324,FRS.DE,14.3M,2177,4566.70597958
325,FT8.DE,95.6M,1033,19749.7693924
326,FW1.DE,22.1M,93868,184899.795732
327,FYB.DE,60.4M,8410,76912.663994
328,FZM.DE,5.019B,2417,2504.39400466
329,G1A.DE,6.668B,377359,12002955.4433
330,G2A.DE,4.625B,17,563.604803837
331,G6P.DE,2.8M,2769,2526.2015721
333,G8O1.DE,6.7M,8506,-
334,GAN.DE,23.293B,1841,8462.17476935
335,GBF.DE,3.676B,120563,9947333.98957
336,GBRA.DE,9.611B,71,6638.74425371
337,GE1.DE,6.050B,2059,459586.676407
338,GFIN.DE,2.130B,22,1478.16773127
339,GFJ.DE,2.813B,634404,3388426.48968
340,GFK.DE,1.409B,3166,258686.559829
341,GFT.DE,258.5M,67255,405262.369708
344,GHH.DE,689.5M,3786,5158.48612386
345,GIB.DE,2.080B,16707,2857438.00235
346,GIL.DE,2.000B,208014,6591896.44421
347,GIN.DE,11.304B,13,913.326389379
349,GIS.DE,91.880B,4564,258020.779888
350,GKS.DE,78.6M,1163,63481.0054271
351,GLJ.DE,1.076B,4486,442241.609898
352,GLW.DE,21.197B,958,10682.1421157
353,GM2.DE,14.663B,79,10477.0127753
354,GME.DE,39.6M,7667,31024.7079533
355,GMM.DE,467.7M,35724,1603501.73201
356,GNV.DE,2.867B,55,106.228091236
357,GO5.DE,16.252B,3150,74663.0945537
358,GO8.DE,34.6M,5580,8106.36200347
359,GOS.DE,57.147B,142,19480.1054562
360,GRF.DE,29.2M,4552,24553.445773
361,GRU.DE,2.288B,48337,5804.261875
362,GS7.DE,94.354B,14830,300640.856498
363,GSC1.DE,254.0M,2815,255517.54653
364,GTK.DE,15.8M,1140,7792.32822541
365,GTQ1.DE,2.182B,4589,38562.4094816
366,GWI1.DE,1.657B,66132,3232525.53978
367,GWM.DE,14.7M,8947,-
368,GXI.DE,1.581B,62202,4959814.78616
369,H2FA.DE,45.6M,4505,22107.8885874
370,H2R.DE,37.6M,4282,18427.9877453
371,H4G.DE,61.3M,4231,17644.3792301
372,H4I.DE,29.0M,1703,1110.21389682
373,H5E.DE,95.5M,8202,105084.253164
374,H8K.DE,44.8M,1439,9829.28634983
375,H9O1.DE,10.3M,737,1200.45433378
376,H9W.DE,84.4M,422,3828.70760316
378,HAL.DE,43.375B,629,26167.3415732
379,HAR.DE,11.124B,314,9272.68508955
380,HAW.DE,384.9M,5116,154785.932582
381,HBC1.DE,143.9B,47252,356593.544983
382,HBM.DE,1.031B,11005,136457.951944
384,HDD.DE,632.1M,1480285,4236148.14763
385,HDI.DE,80.648B,259,15568.666725
386,HEI.DE,11.562B,603826,42432332.4021
387,HEN.DE,32.119B,88893,6674253.6565
388,HG1.DE,376.5M,10186,187249.488804
389,HHFA.DE,1.405B,80620,1153434.41466
390,HHX.DE,8.4M,7,274.839700586
391,HJ1.DE,19.2M,1536,262.593937575
392,HLBN.DE,21.233B,376,22191.4756569
393,HLG.DE,158.0M,11034,115903.058401
394,HMSB.DE,52.656B,1272,42012.3680608
396,HNL.DE,86.5M,7680,91461.4675195
397,HNR1.DE,7.949B,174161,12188191.7003
398,HOO.DE,4.543B,22,-
399,HOT.DE,4.407B,96182,9763643.17232
400,HP3.DE,25.9M,20657,10801.3325922
