,Ticker,MarketCap,AvgVol,Turnover
414,CDA.AX,136.2M,178193,499637.160345
415,CDB.AX,2.7M,12658500,50000.9707812
416,CDD.AX,928.5M,423510,3014408.02083
417,CDG.AX,22.9M,145306,18724.975
419,CDI.AX,586.6M,795445,897052.592222
423,CDP.AX,397.6M,8700,67934.1170607
424,CDT.AX,1.2M,24981,915.029286686
425,CDU.AX,361.5M,349724,-
426,CDV.AX,1.8M,124490,3284.59293056
427,CDY.AX,19.1M,1780280,100989.629792
428,CEL.AX,26.3M,243741,53909.6691146
431,CES.AX,764K,36642,111.303111172
432,CFE.AX,50.8M,1042770,110907.942361
433,CFU.AX,22.8M,4165220,90127.8266667
437,CGF.AX,3.907B,1766920,-
438,CGH.AX,115.4M,79410,67976.0170139
439,CGI.AX,183K,13682,3.1119791667
440,CGM.AX,1.3M,173094,281.049618056
441,CGO.AX,26.8M,21421,11561.7327525
443,CGR.AX,16.5M,123152,24032.2940721
444,CGS.AX,29.7M,33937,9123.78815792
446,CGU.AX,1.3M,178191,2051.65589435
448,CHC.AX,1.348B,915758,2641956.25694
449,CHF.AX,6.9M,60213,1598.23591192
452,CHN.AX,36.5M,294067,37185.3518018
453,CHP.AX,1.4M,861235,1441.75358551
454,CHR.AX,20.3M,710,1431.19104167
455,CHZ.AX,22.0M,122550,36160.5234375
458,CII.AX,60.5M,8915,6951.4790625
460,CIN.AX,710.8M,477,36948.3924301
462,CIR.AX,10.2M,35232,4697.95809028
463,CIW.AX,37.0M,10172,21745.8616667
464,CIX.AX,80.5M,449336,112128.907656
466,CJT.AX,5.4M,2364,9.5518672199
467,CKA.AX,66.0M,226774,108160.793437
468,CKF.AX,189.7M,82702,224130.615003
469,CKK.AX,2.5M,1290540,3175.87190972
470,CKL.AX,53.1M,25598,35807.3969965
472,CLA.AX,2.0M,4337670,33914.8986111
473,CLH.AX,235.4M,120616,509887.661354
475,CLQ.AX,7.8M,664796,14163.5955903
478,CLT.AX,9.3M,7355,2097.69690972
479,CLV.AX,72.3M,84181,41384.416935
480,CLX.AX,129.4M,14548,39059.0277778
481,CLY.AX,1.7M,107446,1398.49833333
482,CMC.AX,4.5M,30096,2052.99065099
483,CMG.AX,173.9M,500045,200740.142778
484,CMI.AX,51.0M,18925,22836.2447222
486,CMP.AX,26.1M,54810,2488.28076389
488,CMT.AX,8.3M,29394,5717.35140625
490,CMW.AX,1.713B,4725420,-
491,CMY.AX,1.8M,660470,11963.1648264
492,CNB.AX,96.2M,343,91.9369270833
494,CND.AX,22.8M,135231,20131.7508681
496,CNI.AX,61.5M,24051,22211.62625
497,CNL.AX,7.5M,49463,2255.00512153
498,CNN.AX,8.1M,2710650,0
501,CNQ.AX,31.1M,218055,8402.81902778
503,CNS.AX,456K,2048,-
504,CNU.AX,626.0M,331512,711761.291504
505,CNX.AX,20.0M,1100060,26922.1755208
506,COE.AX,166.3M,276813,182943.091545
507,COF.AX,59.3M,264284,72325.5108333
508,COH.AX,3.555B,178914,14142316.2206
509,COI.AX,73.3M,298740,56662.5212674
510,COJ.AX,344K,4367,139.247916667
511,COK.AX,112.5M,2224040,156486.639314
512,COM.AX,9.7M,147972,4355.17125
513,COO.AX,35.6M,65210,15497.8868056
514,COT.AX,1.4M,7121,969.378151261
515,COY.AX,4.0M,95977,2734.01138889
516,COZ.AX,24.6M,147588,9314.61930556
519,CPD.AX,1.7M,19476,1489.30477431
521,CPL.AX,39.8M,744798,163861.503229
524,CPU.AX,6.980B,1193420,17754512.365
527,CQC.AX,33.4M,66933,3795.84927083
529,CQR.AX,1.419B,871863,3896693.85875
530,CRB.AX,4.5M,131209,2607.16987847
535,CRL.AX,1.5M,17691,421.568472222
536,CRM.AX,4.7M,2378,450.926215278
537,CRQ.AX,916K,7417,274.474496528
539,CRZ.AX,2.570B,662416,8752919.96674
540,CSD.AX,12.5M,97189,15652.0607639
541,CSE.AX,26.7M,252895,29190.9196181
542,CSL.AX,32.436B,1030790,-
543,CSP.AX,8.4M,49508,7676.68312757
545,CSS.AX,53.1M,2055460,228558.195245
547,CSV.AX,267.8M,210450,307649.393576
549,CTD.AX,501.6M,121925,705259.380729
550,CTE.AX,18.2M,7182,10209.8879514
551,CTM.AX,12.7M,126574,18238.0972569
553,CTO.AX,35.9M,956729,23876.3145833
554,CTP.AX,102.0M,1180580,-
555,CTR.AX,11.9M,4903090,61271.4052272
556,CTT.AX,799K,10914,186.255416667
557,CTX.AX,5.862B,500483,11604708.0212
558,CTY.AX,1.688B,230,1035.34846163
559,CUE.AX,80.3M,217642,40029.0547222
560,CUG.AX,888K,44300,756.176059028
561,CUL.AX,10.6M,3547150,14857.1854479
562,CUP.AX,191.9M,48184,101309.63637
564,CUU.AX,1.7M,64476,1421.19565972
565,CUV.AX,65.0M,35803,32630.2533333
566,CUX.AX,1.9M,137086,3011.995
567,CVC.AX,171.9M,4684,12728.879978
569,CVG.AX,3.5M,287458,2666.1875
570,CVN.AX,78.4M,2604900,155434.410434
572,CVS.AX,608K,29768,2.6736970782
573,CVV.AX,5.1M,257807,13151.5863194
574,CVW.AX,348.8M,93919,34552.0815278
576,CWE.AX,73.3M,1188310,95474.0704167
577,CWG.AX,3.0M,28990,2486.75911458
580,CWN.AX,11.144B,1603070,23977276.8559
581,CWP.AX,536.0M,76381,639001.686736
583,CXM.AX,28.2M,36985,6070.27947917
584,CXO.AX,3.4M,819341,30031.5074637
585,CXU.AX,58.8M,402672,19560.5752431
589,CYC.AX,12.1M,3031,1146.91898524
592,CYG.AX,108.0M,18687,76643.0261285
593,CYL.AX,15.2M,907,495.89890625
594,CYO.AX,696K,260119,1814.58618056
595,CYS.AX,3.5M,63831,2247.32472222
596,CYU.AX,7.0M,117279,3181.12342014
597,CYY.AX,455K,36791,2319.06875
598,CZA.AX,73.4M,17594,1979.73350694
599,CZD.AX,43.8M,254183,30936.0461458
600,CZI.AX,8.6M,1454810,37382.0811625
601,CZN.AX,2.8M,1546070,39611.4392187
602,CZR.AX,20.8M,334987,3895.49409722
603,CZZ.AX,50.6M,40707,71322.3701215
604,DAU.AX,1.3M,91350,1385.30130208
605,DCG.AX,307.0M,364966,967958.763281
606,DCN.AX,33.6M,15992,6589.77213284
607,DDD.AX,3.4M,35786,876.140104167
608,DDR.AX,197.9M,14044,18255.9888715
609,DDT.AX,13.3M,1381610,41277.0115184
610,DEG.AX,1.8M,1292860,0
611,DGH.AX,24.2M,16958,12818.5575
613,DGO.AX,459K,128509,0
614,DGR.AX,12.3M,168098,11852.0046875
615,DGX.AX,19.3M,1046380,26010.6516761
616,DIG.AX,2.3M,335617,5966.59645833
618,DIS.AX,1.2M,5078,328.261772352
619,DJS.AX,2.117B,4572960,9955535.19333
620,DJW.AX,1.023B,23191,416368.251683
621,DLC.AX,4.4M,115884,1406.62927636
622,DLE.AX,15.5M,781,249.366927083
623,DLS.AX,648.7M,1590340,2300494.97139
624,DLX.AX,2.112B,1319330,6447384.99799
625,DMA.AX,2.4M,4494,305.656875
626,DMG.AX,5.0M,42242,-
627,DMI.AX,1.5M,15199,703.224686214
628,DML.AX,15.1M,4313010,401929.375243
629,DMP.AX,1.891B,175094,3132734.60026
631,DMY.AX,81.1M,1344750,3144.559375
632,DNA.AX,369.0M,2040940,1429193.92541
634,DOW.AX,1.995B,1961490,9115828.63892
635,DRA.AX,11.1M,15034,3596.29791154
636,DRG.AX,1.1M,36997,1443.35738021
637,DRK.AX,5.5M,1574470,32519.2678125
638,DRM.AX,119.9M,332213,346694.204427
639,DRX.AX,4.9M,212087,2572.08674093
640,DSB.AX,5.7M,18677,6708.43104167
641,DSN.AX,1.6M,73085,1010.49666667
644,DTE.AX,193.9M,2695310,319283.560556
646,DTL.AX,98.5M,264182,201985.864896
647,DTM.AX,3.5M,104227,4252.21583333
649,DUE.AX,2.982B,4354110,-
651,DUI.AX,616.4M,4079,146666.153814
652,DUO.AX,1.1M,17336,-
653,DVA.AX,13.6M,305297,10485.81625
654,DVN.AX,158.7M,186280,134640.934757
655,DWS.AX,153.5M,86130,130714.274149
656,DXS.AX,5.276B,15063900,20570711.2866
657,DYE.AX,55.6M,137166,99673.7615399
658,DYL.AX,25.8M,574765,20830.0945486
659,EAF.AX,1.1M,102349,2445.65368056
660,EAL.AX,67.8M,103577,56550.7694444
661,EAR.AX,11.4M,45086,7136.039375
662,EAS.AX,24.1M,6719,7274.54472203
664,EAX.AX,84.4M,22004,150786.742969
665,EBG.AX,14.2M,119853,3100.79109375
666,EBT.AX,56.7M,54302,114045.212413
671,ECV.AX,29.8M,1997,5820.92366319
672,EDE.AX,10.6M,376697,9205.47916667
673,EEG.AX,29.0M,144815,16105.9590572
675,EFE.AX,4.4M,28933,802.567070126
677,EGG.AX,85.7M,254235,-
678,EGH.AX,9.7M,10408,4822.96189804
679,EGL.AX,1.8M,11762,806.946701389
680,EGN.AX,40.4M,21998,12304.5036931
681,EGO.AX,50.4M,4855880,77348.046875
682,EGP.AX,2.642B,5874460,9420638.67753
684,EHL.AX,121.3M,1166050,775641.769563
688,ELD.AX,91.0M,1529710,108609.889757
690,ELK.AX,19.8M,107447,13162.905
691,ELM.AX,78.8M,312485,101820.989253
693,ELX.AX,38.6M,32760,24193.7051704
694,EMA.AX,25.4M,339708,7947.18190972
695,EMB.AX,15.9M,76,509.480208674
696,EME.AX,17.7M,2808,587.796180556
698,EMG.AX,2.5M,85948,1246.94005208
699,EML.AX,76.0M,227865,189367.184722
701,EMR.AX,14.2M,2205560,25824.4717014
702,EMU.AX,2.6M,2634,-
703,EMX.AX,4.2M,413707,6743.35558961
705,ENB.AX,2.4M,23964,152.137721458
706,ENE.AX,810.8M,31022,140866.38125
707,ENL.AX,371K,4281,1.8696180556
708,ENR.AX,16.7M,24067,5288.44288194
709,ENT.AX,16.5M,1885520,38084.9371875
710,ENU.AX,3.1M,7166,375.236041667
711,ENV.AX,2.453B,4453940,4115777.75341
713,EOL.AX,6.2M,46075,2825.08645833
714,EOS.AX,21.0M,20239,7342.33541667
715,EPD.AX,42.8M,176701,87168.5190278
718,EPW.AX,418.8M,614999,1068324.76292
721,EQE.AX,3.1M,58119,1857.35027778
722,EQH.AX,3.8M,20156,-
723,EQT.AX,201.5M,54400,354979.974219
724,EQX.AX,43.4M,82432,38145.4711458
725,ERA.AX,642.0M,328011,636382.175625
726,ERD.AX,2.2M,42689,653.081597222
727,ERI.AX,2.2M,1348140,6580.54847541
728,ERJ.AX,1.8M,169497,1771.01527778
729,ERL.AX,731K,53591,363.129670139
730,ERM.AX,10.5M,1083460,17063.3928472
733,ESI.AX,6.3M,2589520,17064.7854514
734,ESK.AX,8.0M,3201,1142.95225694
735,ESM.AX,1.0M,4502,140.344375
736,ESN.AX,2.1M,4002960,386.994253472
737,ESR.AX,8.3M,31058,8368.59890625
738,ESV.AX,190.2M,171249,118143.376823
739,ETE.AX,15.8M,405625,15684.6245486
741,EUM.AX,3.5M,3018,633.623333333
742,EVE.AX,1.2M,157264,68.6553125
743,EVM.AX,29.8M,100743,10565.6809549
744,EVN.AX,499.6M,2172890,1691741.16898
745,EVR.AX,314.0M,124555,221172.696667
746,EVZ.AX,2.5M,114865,3099.956875
747,EWC.AX,546.3M,1866740,708167.273733
749,EXC.AX,3.3M,9407,472.167361111
750,EXE.AX,6.7M,397602,2827.15197917
751,EXG.AX,32.2M,98135,12585.553559
752,EXM.AX,488K,85838,1006.51348958
753,EXR.AX,2.2M,147807,1497.57918403
756,EZA.AX,4.9M,2466,488.886141768
757,EZL.AX,182.2M,88275,106167.096042
759,FAN.AX,153.0M,41943,103873.799913
760,FAR.AX,92.5M,7879060,356762.820312
761,FAS.AX,6.3M,4810450,126131.454861
762,FBU.AX,5.680B,663371,7411037.39648
763,FCN.AX,1.9M,52925,480.739097222
764,FCR.AX,6.0M,84042,2353.46465278
765,FDC.AX,3.640B,4622520,11672125.0847
766,FEL.AX,7.9M,93256,1003.555
767,FEO.AX,37.0M,60403,1786.13652778
768,FFF.AX,13.2M,156742,3432.28809028
769,FFI.AX,36.8M,1560,7939.56579861
772,FGI.AX,3.7M,358,177.018645833
773,FIE.AX,896K,55632,374.280381944
777,FLK.AX,117.4M,195616,46562.778125
778,FLR.AX,2.3M,31985,115.418541667
780,FLT.AX,4.504B,403820,-
781,FMG.AX,13.919B,20561900,-
782,FML.AX,91.4M,4646160,76054.5435937
783,FMS.AX,34.7M,4351100,159517.58691
784,FND.AX,92.1M,156604,23798.7384375
785,FNP.AX,412.4M,186280,471420.652778
786,FNT.AX,4.4M,744821,3258.07267437
787,FOT.AX,4.6M,8827,1066.88500542
791,FPH.AX,2.400B,63404,200426.624586
792,FPS.AX,49.5M,9813,34577.2229167
793,FRC.AX,3.8M,1953,448.3375
794,FRE.AX,1.7M,3360200,80.4135763889
796,FRI.AX,351.1M,85109,-
797,FRM.AX,5.5M,1702,1442.71204008
800,FRY.AX,882K,13381,1147.52756944
801,FSA.AX,153.9M,86065,111283.475642
802,FSE.AX,17.6M,391967,5188.56640625
804,FTE.AX,7.5M,63701,743.580590278
805,FUN.AX,41.4M,1019020,180369.767587
806,FWD.AX,135.0M,129312,728113.418229
807,FWL.AX,2.2M,21443,432.92140625
808,FXJ.AX,2.176B,14681400,7261285.58299
809,FXL.AX,975.4M,878284,3278501.69009
810,FXR.AX,6.5M,271664,4775.90640657
811,FYI.AX,2.9M,22037,799.30157883
812,FZR.AX,29.5M,32125,20064.1915972
813,GAP.AX,71.4M,231887,53602.7316667
814,GBA.AX,931K,2535,118.544270833
815,GBE.AX,19.3M,1450790,16801.9577831
