,Ticker,MarketCap,AvgVol,Turnover
436,F86.SI,38.7M,46045,21924.8385417
437,F99.SI,4.393B,163582,2438269.89687
438,F9D.SI,968.2M,336209,736648.502431
439,F9M.SI,275.5M,466194,48678.432706
441,FO8.SI,47.5M,0,90226.0151042
442,FP1.SI,22.8M,672702,18739.1
443,FQ7.SI,173.3M,1651360,160480.85625
444,FQ8.SI,29.8M,2098430,25661.215716
445,FV2.SI,38.6M,175597,28830.6574653
446,G05.SI,1.332B,1745160,1708623.01997
447,G07.SI,10.493B,33119,425028.03125
448,G08.SI,111.2M,142612,93440.1114583
450,G0I.SI,70.0M,54955,26269.5720486
451,G10.SI,2.657B,788,231.329983719
452,G11.SI,93.0M,9955050,50199.932074
453,G13.SI,16.460B,14615000,22309101.1625
454,G18.SI,56.3M,844627,379799.685417
459,G20.SI,267.1M,55552,33957.928125
461,G31.SI,62.9M,327985,30197.5722222
464,G41.SI,278.1M,31731,25171.6232639
465,G4F.SI,284.9M,12420700,1956252.62813
466,G50.SI,44.1M,447463,47365.0350694
467,G54.SI,6.7M,155149,10217.325
469,G77.SI,30.7M,7789070,0
471,G92.SI,722.6M,110447,123929.774981
473,GG7.SI,126.6M,222119,79614.4833333
474,GH3.SI,43.9M,270552,21052.7821181
475,GJ8.SI,158.9M,850552,1044752.55746
477,GU5.SI,11.6M,128224,14510.6694444
479,H02.SI,1.859B,45851,541592.563542
480,H06.SI,50.8M,59582,3514.04548611
481,H07.SI,570.1M,405776,147990.597958
482,H12.SI,327.6M,5746,14142.698645
483,H13.SI,1.489B,303776,629569.292535
484,H15.SI,2.053B,911284,1071874.57172
485,H16.SI,9.6M,646716,8129.453125
486,H17.SI,470.5M,125731,110189.566667
487,H18.SI,727.9M,58687,34938.7427902
488,H19.SI,209.1M,134612,33623.3256944
494,H20.SI,39.0M,12015,18303.1442296
495,H22.SI,596.4M,173403,176586.816667
497,H27.SI,75.2M,4317970,86974.3568465
499,H30.SI,878.5M,1319400,420548.677881
501,H64.SI,123.9M,57209,61951.6904514
502,H73.SI,126.4M,124179,21292.5546875
503,H78.SI,15.764B,1434520,9048086.625
510,I03.SI,119.9M,880537,437604.086706
511,I04.SI,51.4M,2402240,247992.645099
512,I06.SI,46.4M,19925,8000.49583333
513,I07.SI,147.6M,1471220,1255097.05928
514,I11.SI,56.1M,11492600,1020900.22344
515,I12.SI,116.9M,627373,103036.147743
516,I15.SI,204.6M,4866,9906.6
520,I26.SI,62.4M,16292600,2807882.48859
522,I4U.SI,111.5M,4957690,592240.388715
523,I54.SI,23.2M,28672,1925.69166667
524,I5H.SI,10.9M,5418,229.682291667
525,I85.SI,74.9M,15149,24761.4114583
527,I9T.SI,27.8M,597298,16894.1881944
533,IW5.SI,31.2M,80642,10016.3447917
534,IX2.SI,139.1M,74254,39767.081834
535,J03.SI,38.3M,277597,10975.1572917
543,J10.SI,145.1M,1946160,1057218.38467
544,J11.SI,12.0M,4269,186.870833333
546,J16.SI,751.3M,7854120,2081086.8525
547,J17.SI,18.8M,26045,3248.41076389
548,J18.SI,26.5M,19164,2074.44010417
549,J2T.SI,137.7M,144866,21472.8541667
550,J36.SI,18.413B,215451,14172190.4597
551,J37.SI,22.471B,160142,6497609.84177
553,J74.SI,85.0M,461567,70198.4953771
554,J7X.SI,458.7M,3115640,726379.413542
555,J85.SI,1.710B,1417750,1993476.62471
556,J8O.SI,78.4M,61612,4516.84027479
557,J91U.SI,966.4M,2026900,1658428.42222
558,JA9.SI,16.2M,33687,1879.66650023
564,JS8.SI,9.160B,20385400,18909425.4913
565,K01.SI,400.6M,2514400,515379.839063
566,K03.SI,55.8M,2373,9962.69451284
569,K11.SI,996.0M,132418,268566.65625
570,K14.SI,132.2M,50910,14419.3645833
571,K17.SI,5.318B,2123550,7420198.88586
572,K1Q.SI,131.2M,90687,18307.4961806
573,K22.SI,53.8M,71657,5361.2734375
574,K29.SI,62.8M,10612,7402.65625
575,K2LU.SI,932.9M,909896,1227683.77008
576,K2M.SI,50.6M,86388,2721.80782011
577,K2N.SI,576.8M,129582,2066968.45698
578,K2P.SI,176.5M,339597,69668.7729206
580,K3DD.SI,2.885B,0,870.612139143
581,K3ED.SI,38.419B,0,778.808020833
584,K3HD.SI,4.949B,1,29.1318429299
585,K3ID.SI,31.871B,0,100.006927083
587,K3KD.SI,448.6M,2,2.2800721276
590,K3OD.SI,192.3B,0,1711.75104167
591,K3PD.SI,167.8B,0,534.351639502
597,K6J.SI,84.7M,91821,7247.53125
599,K6S.SI,54.896B,53,350.694444444
602,K75.SI,141.4M,282134,85157.4056921
603,KF4.SI,117.7M,542582,141506.239583
608,KI3.SI,79.9M,6295700,373425.614236
609,KJ5.SI,84.3M,251030,40550.69375
612,KJ9.SI,217.7M,1856550,379408.148611
617,KT9.SI,15.0M,1163250,39568.8854167
624,L02.SI,334.3M,1330120,212567.8375
625,L03.SI,365.5M,2544400,737791.175
626,L05.SI,61.8M,63925,4165.35659722
627,L08.SI,64.1M,43925,5466.21373599
628,L09.SI,284.3M,61,9.3293184643
629,L10.SI,26.6M,7597,1819.61691431
630,L15.SI,39.0M,82925,2846.59664951
631,L17.SI,118.9M,50716,40318.1479167
632,L18.SI,45.1M,67209,2624.31354167
633,L19.SI,142.1M,297239,65219.9279514
634,L20.SI,23.0M,6953300,101582.448133
636,L23.SI,58.5M,65000,39172.1208313
638,L25.SI,457.4M,5955,7339.131902
639,L28.SI,109.3M,668030,119674.229783
640,L34.SI,5.1M,18925,288.218178062
641,L38.SI,304.8M,8186200,426037.448785
642,L46.SI,21.8M,8045,1327.26041667
647,L6T.SI,87.0M,3685840,1097124.38284
650,LG2U.SI,418.8M,78806,786449.761458
656,LJ3.SI,2.220B,591104,1802571.34116
657,LS9.SI,29.6M,118343,11727.9478659
658,M01.SI,828.0M,972030,387666.227338
659,M03.SI,26.5M,57015,7223.82673611
660,M04.SI,1.901B,249448,503947.134175
661,M05.SI,264.2M,42134,52479.1694358
662,M06.SI,49.7M,17328,3201.9625
663,M09.SI,43.9M,2405570,44348.8572917
664,M11.SI,13.9M,50881,9300.14118214
666,M14.SI,72.7M,160672,43050.0875
667,M15.SI,13.0M,50716,18305.3541667
669,M1P.SI,332.4M,681134,303512.113083
670,M1Z.SI,133.1M,706731,128478.35
671,M22.SI,26.4M,4989150,92291.3427799
673,M26.SI,68.5M,343030,18950.5333333
674,M30.SI,45.8M,101507,2858.49340278
675,M35.SI,2.130B,364985,320285.013368
676,M41.SI,109.2M,2140890,344075.28828
677,M44U.SI,2.828B,3333030,3532548.3
679,M9F.SI,129.7M,71642,154955.286583
680,MC0.SI,12.805B,12285500,29815756.1637
681,MC7.SI,85.4M,145298,147957.5625
682,ME8U.SI,2.372B,0,-
683,MF5.SI,39.3M,189254,81032.5934471
684,MF6.SI,47.9M,83134,4966.88245726
685,MN5.SI,671.3M,672164,246050.138021
686,MQ4.SI,622.5M,204358,59224.7586991
687,MR7.SI,39.6M,66881,14744.9027778
688,MR8.SI,20.5M,9910,1679.84079861
689,MS7.SI,1.286B,4451450,3690805.33737
693,MV4.SI,670.6M,1147130,376999.792359
694,N01.SI,276.9M,158433,243690.031508
695,N02.SI,640.7M,123567,145398.819444
696,N03.SI,2.468B,1932450,2681063.19444
697,N08.SI,127.4M,98731,21999.6866319
698,N0L.SI,38.3M,53373,12201.6633667
700,N14.SI,21.1M,588298,118359.904272
701,N21.SI,9.148B,31330600,27930007.0636
704,N2H.SI,88.505B,1490,162696.331527
706,N32.SI,16.2M,49851,2038.28463697
708,N4E.SI,830.7M,5468460,1779932.34115
721,NC2.SI,761.6M,17167,7649.2859375
722,NC9.SI,128.0M,3721,5008.165
723,ND8U.SI,909.4M,1106660,964312.6875
724,NF1.SI,65.7M,280702,71808.4296069
730,NI3.SI,324.0M,194537,344546.038808
731,NO4.SI,383.7M,1768480,490144.706531
732,NR7.SI,353.8M,1227240,243546.836458
733,NS8U.SI,6.316B,10355400,7018758.29234
735,O02.SI,2.1M,1582,132.12169212
736,O05.SI,65.6M,1959300,2020429.80833
737,O08.SI,70.7M,638209,304930.715104
738,O10.SI,725.2M,95702,131870.193351
741,O23.SI,1.982B,1413750,3085508.50226
742,O2F.SI,46.9M,4726840,237541.341919
743,O2I.SI,31.4M,34478,2555.625
744,O2R.SI,1.8M,1791,209.6015625
746,O32.SI,5.808B,5939460,9399283.09017
747,O39.SI,32.974B,3671820,37234067.8129
756,O9E.SI,535.1M,99164,104885.229167
759,OJ4.SI,52.9M,30105500,1222847.66912
760,ON7.SI,123.6M,205403,272616.255574
761,OU8.SI,540.6M,3466550,-
762,OV8.SI,892.4M,1002090,523699.823006
763,P01.SI,159.1M,56075,27805.9298611
766,P07.SI,48.0M,252388,9369.696875
767,P11.SI,584.5M,2366300,298552.566244
768,P12.SI,29.5M,61731,6158.0138083
769,P13.SI,148.6M,4406750,455402.042188
770,P15.SI,760.8M,690090,146806.549479
771,P19.SI,93.6M,11761,5681.6251442
774,P29.SI,215.8M,532731,83553.3933644
777,P30.SI,58.0M,1897300,65924.5314302
778,P31.SI,8.6M,19045,1441.95588919
779,P34.SI,2.384B,307239,795890.528744
780,P36.SI,107.6M,42388,16824.0104167
782,P47.SI,28.7M,269224,8763.19932508
783,P52.SI,606.5M,243716,222926.037947
787,P74.SI,30.3M,5463,391.037688745
788,P82.SI,20.2M,346104,35605.4833333
789,P8A.SI,311.9M,411343,2185682.07917
791,P8Z.SI,2.083B,1277130,826346.733333
792,P9D.SI,347.4M,86164,332313.447049
793,P9J.SI,341.9M,1852300,379419.926206
794,PA3.SI,165.1M,110612,27573.5600282
795,PH0.SI,7.9M,11015,1367.44684148
811,Q01.SI,459.4M,133746,126024.681393
812,Q0F.SI,13.536B,154848,183683.435514
814,Q0W.SI,108.0M,167955,46885.9512153
815,Q0X.SI,103.1M,253627,175540.743272
816,Q1P.SI,781.2M,0,-
817,Q5T.SI,1.544B,1298940,840501.908714
818,Q7Q.SI,3.5M,149,146.64261979
821,QC7.SI,272.5M,1876640,510774.971354
822,QF6.SI,88.4M,675537,516594.415558
823,QG1.SI,34.9M,4607430,264998.967014
831,QS9.SI,115.9M,1584520,448408.959113
834,R01.SI,2.247B,366522,1112865.46528
835,R07.SI,425.6M,1302130,544156.28125
836,R14.SI,163.8M,3569280,1827218.51965
840,RC5.SI,181.4M,56090,104841.694444
841,RE2.SI,316.8M,338866,520179.183333
842,RE4.SI,341.3M,4496790,2197342.24219
843,RF7.SI,250.6M,59492,69153.3072917
844,RQ1.SI,423.7M,340373,362989.875521
