,Ticker,Turnover
2068,LIO1,0.0
2069,LIP,0.0
2070,LIQ,0.0
2071,LIUB,1000.0
2072,LIV,0.0
2073,LIZ,0.0
2074,LK4B,0.0
2075,LK6,0.0
2076,LK7A,0.0
2077,LK9,0.0
2078,LKI,0.0
2079,LKM,0.0
2080,LL6,0.0
2081,LLD,1455.0
2082,LLV,0.0
2083,LLY,0.0
2084,LMA,0.0
2085,LME,0.0
2086,LMP,0.0
2087,LMX,0.0
2088,LNLB,0.0
2089,LO3,0.0
2090,LO6A,0.0
2091,LOEK,0.0
2092,LOG,0.0
2093,LOJ,0.0
2094,LOKA,0.0
2095,LOM,0.0
2096,LOO,0.0
2097,LOR,0.0
2098,LPK,11747.999999999998
2099,LPL2,0.0
2100,LPO,0.0
2101,LPZB,0.0
2102,LR2,0.0
2103,LR8,0.0
2104,LRC,0.0
2105,LRH,0.0
2106,LS4C,0.0
2107,LSPP,0.0
2108,LSRN,0.0
2109,LSX,5115.0
2110,LT5,0.0
2111,LTB,0.0
2112,LTC,0.0
2113,LTD,0.0
2114,LTEC,0.0
2115,LTF,0.0
2116,LTH,0.0
2117,LTJ,0.0
2118,LTT,0.0
2119,LU6A,0.0
2120,LUC,0.0
2121,LUM,0.0
2122,LUS,0.0
2123,LUXA,0.0
2124,LUY1,520.0
2125,LVCN,0.0
2126,LVT,0.0
2127,LWB,0.0
2128,LWE,0.0
2129,LWI,0.0
2130,LX2N,0.0
2131,LX3,0.0
2132,LXH,0.0
2133,LXK,0.0
2134,LXS,64440.0
2135,LY1,0.0
2136,LYI,0.0
2137,M04,0.0
2138,M0P,0.0
2139,M0R,0.0
2140,M17,0.0
2141,M1C,0.0
2142,M1H,0.0
2143,M1W,2880.0
2144,M2H,0.0
2145,M3C,0.0
2146,M3L,0.0
2147,M3M1,0.0
2148,M3Q,0.0
2149,M3R,0.0
2150,M3V,0.0
2151,M4B,0.0
2152,M4I,34020.0
2153,M4N,935.0
2154,M4Q,0.0
2155,M5G,0.0
2156,M5S,0.0
2157,M5Z,0.0
2158,M6J,0.0
2159,M6L,0.0
2160,M6O,0.0
2161,M6Q,0.0
2162,M6YA,0.0
2163,M6Z,0.0
2164,M8B,0.0
2165,M8R,0.0
2166,M9R,0.0
2167,MA1,0.0
2168,MA6,0.0
2169,MAC,0.0
2170,MAK,0.0
2171,MAL1,0.0
2172,MAN,0.0
2173,MAQ,0.0
2174,MARA,0.0
2175,MAT1,825.0
2176,MB9,0.0
2177,MBB,0.0
2178,MBI,0.0
2179,MBK,0.0
2180,MBO,0.0
2181,MBQ,0.0
2182,MC9K,0.0
2183,MCF,0.0
2184,MCG,0.0
2185,MCH,0.0
2186,MCK,0.0
2187,MCN,0.0
2188,MCX,0.0
2189,MCY,0.0
2190,MDB,0.0
2191,MDD,0.0
2192,MDF,0.0
2193,MDN,0.0
2194,MDO,7009.0
2195,MDS,4310.0
2196,MDT,0.0
2197,ME5A,0.0
2198,ME9,0.0
2199,MEA,0.0
2200,MEF,0.0
2201,MEL,0.0
2202,MEO,6494.0
2203,MES,0.0
2204,MF9A,0.0
2205,MFNC,0.0
2206,MFU,0.0
2207,MFZ,0.0
2208,MG3B,0.0
2209,MGA,0.0
2210,MGC,0.0
2211,MGG,0.0
2212,MGJ,0.0
2213,MGN,0.0
2214,MGP,0.0
2215,MGX,0.0
2216,MGYB,1296.0
2217,MH4N,0.0
2218,MH6,0.0
2219,MHH,0.0
2220,MHI,0.0
2221,MHL,0.0
2222,MHO,0.0
2223,MHR,0.0
2224,MHT,0.0
2225,MI5,0.0
2226,MIB,0.0
2227,MIC,0.0
2228,MIE1,0.0
2229,MIH,0.0
2230,MITA,0.0
2231,MIW,0.0
2232,MJ1,0.0
2233,MJ8,0.0
2234,MJD1,0.0
2235,MJT,0.0
2236,MKAN,0.0
2237,MKE,0.0
2238,MKL,0.0
2239,MKN,0.0
2240,MKP,0.0
2241,MKT,0.0
2242,MLL,505.0
2243,MLP,0.0
2244,MLQ2,0.0
2245,MLU,0.0
2246,MM2,1235.0
2247,MM8,0.0
2248,MME,0.0
2249,MMK,0.0
2250,MML,0.0
2251,MMM,9742.0
2252,MMO,0.0
2253,MMT,0.0
2254,MN3,0.0
2255,MNSN,0.0
2256,MOGA,0.0
2257,MOH,0.0
2258,MOJB,0.0
2259,MOK,0.0
2260,MOO,0.0
2261,MOR,19680.0
2262,MOS,0.0
2263,MOX,0.0
2264,MPCK,0.0
2265,MPG,0.0
2266,MPI,0.0
2267,MPM,0.0
2268,MPN,0.0
2269,MPW,0.0
2270,MPY,0.0
2271,MQ7A,0.0
2272,MQ8,1140.0
2273,MQG,0.0
2274,MQX,0.0
2275,MR4,0.0
2276,MRG,0.0
2277,MRI,0.0
2278,MRK,122170.0
2279,MRS,0.0
2280,MRU2,0.0
2281,MS2,0.0
2282,MS7,0.0
2283,MSAG,1655.0
2284,MSF,2758.0
2285,MSI,0.0
2286,MSN,0.0
2287,MSPA,0.0
2288,MSQ,0.0
2289,MSRB,0.0
2290,MT1,0.0
2291,MT2,0.0
2292,MT4,0.0
2293,MT7,0.0
2294,MTA,0.0
2295,MTB,0.0
2296,MTK,0.0
2297,MTLA,0.0
2298,MTO,0.0
2299,MTP,0.0
2300,MTR,0.0
2301,MTS1,0.0
2302,MTT,0.0
2303,MTW,0.0
2304,MTX,31305.0
2305,MU,0.0
2306,MU2,0.0
2307,MUB,0.0
2308,MUF,0.0
2309,MUK,0.0
2310,MUM,2680.0
2311,MUN,0.0
2312,MUQ,0.0
2313,MUR1,0.0
2314,MUS,0.0
2315,MUV2,31600.0
2316,MUW,0.0
2317,MV9,0.0
2318,MVF,0.0
2319,MVIN,0.0
2320,MVL,0.0
2321,MVR,0.0
2322,MVV1,2566.0
2323,MWB,0.0
2324,MWI,0.0
2325,MWZ,0.0
2326,MX4A,0.0
2327,MX5,0.0
2328,MX7A,0.0
2329,MXD,0.0
2330,MXH,0.0
2331,MXI,0.0
2332,MXR,0.0
2333,MYC,0.0
2334,MYD,0.0
2335,MYL,0.0
2336,MYM,0.0
2337,MYR,0.0
2338,MZ8,0.0
2339,MZA,0.0
2340,MZI,0.0
2341,MZN,0.0
2342,MZX,0.0
2343,N1M,0.0
2344,N1N,0.0
2345,N1R,0.0
2346,N2F,0.0
2347,N2R,0.0
2348,N2X,0.0
2349,N3E,0.0
2350,N3MN,0.0
2351,N3Y,0.0
2352,N4D,0.0
2353,N4G,0.0
2354,N4Q1,0.0
2355,N5C,0.0
2356,N6H,0.0
2357,N7D,0.0
2358,N7E,0.0
2359,N7G,14563.999999999998
2360,N7V,0.0
2361,N8Z1,0.0
2362,N9B,0.0
2363,N9G,1260.0
2364,N9J,0.0
2365,N9M,1904.0000000000002
2366,NAG1,0.0
2367,NAI,0.0
2368,NAL,0.0
2369,NAP,1050.0
2370,NAQ,0.0
2371,NAR,0.0
2372,NB3,0.0
2373,NB6,0.0
2374,NBC,5850.0
2375,NBG6,6602.0
2376,NBH,1900.0
2377,NBI,0.0
2378,NBP,0.0
2379,NC0,0.0
2380,NC0B,0.0
2381,NC2B,0.0
2382,NC5,0.0
2383,NCB,1219.0
2384,NCL,0.0
2385,NCR1,0.0
2386,NCYD,9393.999999999998
2387,NCZ,0.0
2388,ND3,0.0
2389,NDA,0.0
2390,NDB,0.0
2391,NDX1,11660.0
2392,NE1,0.0
2393,NEC1,0.0
2394,NEF,0.0
2395,NEM,5346.0
2396,NEN,4170.0
2397,NESR,10810.0
2398,NETK,0.0
2399,NEX,0.0
2400,NF2,0.0
2401,NF7K,0.0
2402,NF9,0.0
2403,NFA,0.0
2404,NFC,0.0
2405,NFS,0.0
2406,NFU,0.0
2407,NG4,0.0
2408,NG6A,0.0
2409,NGI,0.0
2410,NGJ,0.0
2411,NGK,0.0
2412,NGLB,0.0
2413,NGP,0.0
2414,NGR,23130.0
2415,NGU,0.0
2416,NHB,0.0
2417,NHM,0.0
2418,NI1,0.0
2419,NI9,0.0
2420,NIP,0.0
2421,NISA,657.0
2422,NIU,0.0
2423,NJ6A,0.0
2424,NJBB,0.0
2425,NJE1,0.0
2426,NJF,0.0
2427,NJJ,0.0
2428,NJM,0.0
2429,NK1A,0.0
2430,NKE,5498.0
2431,NKN,0.0
2432,NKO,0.0
2433,NKX,0.0
2434,NL9,0.0
2435,NLB1,0.0
2436,NLM,0.0
2437,NMA,0.0
2438,NMM,30498.000000000004
2439,NMV,0.0
2440,NNF1,0.0
2441,NNGE,0.0
2442,NNJ,0.0
2443,NNM,0.0
2444,NNNC,0.0
2445,NNO,0.0
2446,NNS,0.0
2447,NO8,0.0
2448,NO9,0.0
2449,NOA3,11004.0
2450,NOEJ,0.0
2451,NOF,0.0
