Ticker,Country,Exchange,TurnoverMultiple
BRB.AX,Australia,AX,1.0466361383
BRC.AX,Australia,AX,3.7717676331
BRD.AX,Australia,AX,0
BRG.AX,Australia,AX,1912.3691464021
BRO.AX,Australia,AX,0
BRU.AX,Australia,AX,1139.0601328504
BSA.AX,Australia,AX,22.2308178334
BSE.AX,Australia,AX,173.420591091
BSL.AX,Australia,AX,15427.8186209251
BSM.AX,Australia,AX,1.4963467007
BSN.AX,Australia,AX,1.8516583997
BSP.AX,Australia,AX,0.8350258104
BSR.AX,Australia,AX,10.5215784532
BTN.AX,Australia,AX,0.9092571231
BTR.AX,Australia,AX,170.2912172043
BTT.AX,Australia,AX,1102.7597696713
BUE.AX,Australia,AX,0.9287020802
BUG.AX,Australia,AX,3.3973853674
BUL.AX,Australia,AX,74.9224364606
BUR.AX,Australia,AX,5.6613869343
BUX.AX,Australia,AX,22.330891265
BUY.AX,Australia,AX,5.2578132731
BWF.AX,Australia,AX,4.2668464869
BXB.AX,Australia,AX,33511.8530152959
BXN.AX,Australia,AX,7.0760670474
BYI.AX,Australia,AX,42.501311861
BYL.AX,Australia,AX,44.2076019828
BYR.AX,Australia,AX,1.709867824
BZL.AX,Australia,AX,0.1101994976
CAA.AX,Australia,AX,97.4747700145
CAB.AX,Australia,AX,1208.4010285569
CAF.AX,Australia,AX,23.1206559754
CAJ.AX,Australia,AX,571.3249916023
CAM.AX,Australia,AX,0
CAP.AX,Australia,AX,3.8610209537
CAQ.AX,Australia,AX,19.2700167263
CAS.AX,Australia,AX,67.1262550467
CAV.AX,Australia,AX,0.6209696748
CAY.AX,Australia,AX,3.2692058388
CAZ.AX,Australia,AX,5.1868496212
CBA.AX,Australia,AX,208753.961435921
CBS.AX,Australia,AX,5.0283458833
CBX.AX,Australia,AX,21.8384617603
CCF.AX,Australia,AX,1.3070979554
CCJ.AX,Australia,AX,2.5305660015
CCL.AX,Australia,AX,0
CCP.AX,Australia,AX,734.745842177
CCV.AX,Australia,AX,843.5588161846
CDA.AX,Australia,AX,461.0793958657
CDB.AX,Australia,AX,46.1423193274
CDD.AX,Australia,AX,2781.7815395824
CDG.AX,Australia,AX,17.2799400161
CDI.AX,Australia,AX,827.8256705244
CDP.AX,Australia,AX,62.6915372575
CDT.AX,Australia,AX,0.844415076
CDU.AX,Australia,AX,0
CDV.AX,Australia,AX,3.0311158662
CDY.AX,Australia,AX,93.1961054719
CEL.AX,Australia,AX,49.7493774272
CES.AX,Australia,AX,0.1027136797
CFE.AX,Australia,AX,102.3490066776
CFU.AX,Australia,AX,83.1725243204
CGF.AX,Australia,AX,0
CGH.AX,Australia,AX,62.7302037272
CGI.AX,Australia,AX,0.002871823
CGM.AX,Australia,AX,0.2593605888
CGO.AX,Australia,AX,10.669496138
CGR.AX,Australia,AX,22.1776851513
CGS.AX,Australia,AX,8.4196914596
CGU.AX,Australia,AX,1.8933264684
CHC.AX,Australia,AX,2438.0724484393
CHF.AX,Australia,AX,1.4748976001
CHN.AX,Australia,AX,34.3157012821
CHP.AX,Australia,AX,1.3304912544
CHR.AX,Australia,AX,1.3207438382
CHZ.AX,Australia,AX,33.3699604914
CII.AX,Australia,AX,6.4150227823
CIN.AX,Australia,AX,34.0970284278
CIR.AX,Australia,AX,4.3354094731
CIW.AX,Australia,AX,20.0677002346
CIX.AX,Australia,AX,103.4757482118
CJT.AX,Australia,AX,0.008814735
CKA.AX,Australia,AX,99.8138594412
CKF.AX,Australia,AX,206.8341123571
CKK.AX,Australia,AX,2.930785013
CKL.AX,Australia,AX,33.0440853584
CLA.AX,Australia,AX,31.2976339703
CLH.AX,Australia,AX,470.538850021
CLQ.AX,Australia,AX,13.0705692378
CLT.AX,Australia,AX,1.9358144282
CLV.AX,Australia,AX,38.1907181313
CLX.AX,Australia,AX,36.0447828149
CLY.AX,Australia,AX,1.2905740762
CMC.AX,Australia,AX,1.8945582199
CMG.AX,Australia,AX,185.2487186785
CMI.AX,Australia,AX,21.0739367606
CMP.AX,Australia,AX,2.2962563284
CMT.AX,Australia,AX,5.2761346464
CMW.AX,Australia,AX,0
CMY.AX,Australia,AX,11.0399490842
CNB.AX,Australia,AX,0.0848420137
CND.AX,Australia,AX,18.5781528371
CNI.AX,Australia,AX,20.497521052
CNL.AX,Australia,AX,2.0809829245
CNN.AX,Australia,AX,0
CNQ.AX,Australia,AX,7.7543606209
CNS.AX,Australia,AX,0
CNU.AX,Australia,AX,656.8335831159
CNX.AX,Australia,AX,24.844550025
COE.AX,Australia,AX,168.8250931319
COF.AX,Australia,AX,66.7440404506
COH.AX,Australia,AX,13050.9320296228
COI.AX,Australia,AX,52.2897877655
COJ.AX,Australia,AX,0.1285019418
COK.AX,Australia,AX,144.4103258175
COM.AX,Australia,AX,4.019076018
COO.AX,Australia,AX,14.3018911575
COT.AX,Australia,AX,0.8945697555
COY.AX,Australia,AX,2.5230235449
COZ.AX,Australia,AX,8.5957958755
CPD.AX,Australia,AX,1.3743728451
CPL.AX,Australia,AX,151.2160601952
CPU.AX,Australia,AX,16384.3694682201
CQC.AX,Australia,AX,3.5029177721
CQR.AX,Australia,AX,3595.9800288384
CRB.AX,Australia,AX,2.405970588
CRL.AX,Australia,AX,0.3890353879
CRM.AX,Australia,AX,0.416127549
CRQ.AX,Australia,AX,0.2532928795
CRZ.AX,Australia,AX,8077.4437344469
CSD.AX,Australia,AX,14.4441672755
CSE.AX,Australia,AX,26.9382116674
CSL.AX,Australia,AX,0
CSP.AX,Australia,AX,7.0842617396
CSS.AX,Australia,AX,210.9200094544
CSV.AX,Australia,AX,283.907618942
CTD.AX,Australia,AX,650.8334347482
CTE.AX,Australia,AX,9.4219752695
CTM.AX,Australia,AX,16.8306353738
CTO.AX,Australia,AX,22.0337428384
CTP.AX,Australia,AX,0
CTR.AX,Australia,AX,56.5429970951
CTT.AX,Australia,AX,0.1718818011
CTX.AX,Australia,AX,10709.1549393932
CTY.AX,Australia,AX,0.955449036
CUE.AX,Australia,AX,36.9399512951
CUG.AX,Australia,AX,0.697820795
CUL.AX,Australia,AX,13.7106337044
CUP.AX,Australia,AX,93.4914166524
CUU.AX,Australia,AX,1.3115198152
CUV.AX,Australia,AX,30.1121267351
CUX.AX,Australia,AX,2.7795547353
