Ticker,MarketCap,Turnover
IFP.L,132.4M,809605.045023
IGG.L,2.088B,386322967.444
IHG.L,6.186B,1547878422.8
III.L,3.779B,0
IKK.L,28.2M,24322.1976156
IMG.L,597.5M,307814346.246
IMI.L,4.017B,825236.667646
IMT.L,25.179B,4331813850.43
INCH.L,2.892B,403753428.886
INF.L,2.891B,488367667.14
INM.L,218.4M,2506781.88493
INV.L,19.3M,16522.9137239
INVP.L,4.570B,841270006.601
IPF.L,1.447B,300351479.151
IPO.L,750.5M,55651249.8242
IRF.L,1.4M,32576.5630757
IRV.L,757.2M,118792100.346
ISAT.L,3.386B,516359738.176
ITE.L,542.7M,176902340.496
ITRK.L,4.377B,1124307652.6
ITV.L,7.058B,1976633962.35
JDG.L,123.1M,12086876.1401
JDW.L,925.0M,65773625.1666
JEL.L,100.5M,0
JKX.L,97.9M,7567415.15384
JLT.L,2.185B,73361751.4308
JMAT.L,6.187B,1139123821.57
JPM.L,207.4B,7151064.36518
JPR.L,24.3M,48056167.2315
JUP.L,1.745B,317800035.376
KAKU.L,7.8M,44536.6467674
KAZ.L,1.360B,440103832.335
KCOM.L,454.6M,75839077.6841
KENZ.L,1.095B,317432276.557
KFX.L,448.7M,0
KGF.L,8.506B,2073727227.32
KGP.L,2.064B,72181818.0054
KIE.L,936.1M,138660181.285
KLR.L,640.7M,127951856.18
KMR.L,417.3M,109416051.957
KNM.L,334.8B,0
KSK.L,177.6M,12267134.2022
KYGA.L,9.621B,309657795.399
LAD.L,1.270B,745905690.455
LAM.L,399.6M,61624692.3837
LAS.L,35.4M,1639154.43329
LFI.L,9.5M,135215.04613
LGEN.L,13.222B,2713938801.42
LIO.L,96.7M,35042469.3507
LLOY.L,54.092B,10294592295.7
LMI.L,1.370B,442817311.284
LOOK.L,477.6M,89465989.9614
LRD.L,771.8M,111110506.69
LRE.L,1.189B,354698021.495
LSE.L,5.366B,601909713.321
LSL.L,386.2M,74497626.4658
LTC.L,121.6M,12801907.2268
LVD.L,342.8M,44814297.667
LWB.L,250.2M,22288865.5972
MAB.L,1.632B,125966124.454
MACF.L,45.8M,4028747.16629
MAE.L,7.6M,745115.026698
MAR.L,130.1M,4518903.84563
MARS.L,818.4M,144840856.542
MAW.L,51.163B,0
MBC.L,2.976T,0
MCB.L,173.1M,16820524.4694
MCGN.L,91.9M,9404025.21558
MCRO.L,1.180B,119624666.292
MDO.L,1.695B,567371.342918
MEC.L,137.3M,43808476.6254
MEL.L,2.499T,0
MEN.L,2.8M,1185152.45819
MER.L,467.6M,56758266.2781
MGGT.L,4.061B,810640746.675
MGNS.L,357.9M,44171230.7364
MHM.L,26.057B,575439.666953
MKS.L,6.944B,1877185404.36
MLC.L,1.891B,44741072.6399
MMC.L,124.3M,4997040.50341
MMP.L,2.4M,319828.024509
MNDI.L,5.229B,1465164907.51
MNZS.L,390.6M,56463905.2014
MONY.L,977.1M,198589092.277
MOSB.L,109.5M,17379890.9598
MPI.L,1.381B,288777154.002
MRO.L,2.754B,569727220.93
MRW.L,4.237B,2338562212.19
MSLH.L,326.1M,25395521.4625
MTC.L,210.8M,50458180.2461
MTO.L,1.147B,247474806.066
MTVW.L,336.3M,6213770.59624
NBP.L,14.6M,104145.87817
NBPO.L,709.6M,32905224.7568
NCC.L,386.6M,43886786.735
NEX.L,1.270B,112403577.94
NHY.L,68.959B,268518774.5
NMC.L,887.5M,27985042.1405
NMD.L,11.7M,565538.002961
NTG.L,688.8M,151348361.914
NVA.L,329.0M,35611739.4916
NWF.L,75.5M,4343389.0093
NWR.L,71.5M,7460265.00057
NXR.L,111.0M,37526266.998
NXT.L,9.623B,1897553643.28
OCDO.L,2.113B,625048987.997
OCN.L,432.8M,11813134.2037
OFF.L,10.1M,3695459.82052
OML.L,8.674B,1657914885.79
OPHR.L,1.369B,351155890.914
OPTS.L,132.2M,9056466.90086
OXB.L,39.4M,3446407.34826
OXIG.L,750.5M,109017058.072
PAF.L,265.1M,11197069.4284
PAG.L,1.089B,220392662.759
PAP.L,2.297B,0
PAY.L,750.3M,63029725.0943
PCH.L,8.9M,182775.810122
PDG.L,395.6M,38025821.439
PDL.L,985.9M,68853604.982
PER.L,617.5M,44682337.4253
PFC.L,4.161B,1269462765.36
PFD.L,127.1M,208940892.052
PFG.L,3.078B,378851794.058
PFL.L,746.0M,137011949.041
PFZ.L,192.0B,24467029.0319
PGIL.L,5.670B,209821531.165
PHNX.L,1.411B,275547260.77
PHRM.L,13.6M,9219323.00107
PHTM.L,512.5M,51828086.1195
PIC.L,1.071B,261669991.444
PLAZ.L,35.7M,2947280.04556
PLUS.L,557.2M,208756884.238
PMO.L,1.714B,451214767.297
PNN.L,2.882B,506274923.67
PNX.L,74.3M,11186778.83
POG.L,96.2M,176201923.34
POLY.L,2.236B,561868690.149
PPH.L,167.4M,5490227.41731
PRU.L,33.729B,4720332539.99
PRV.L,137.8M,13690533.7171
PRW.L,65.0M,2811459.87514
PSN.L,3.833B,1468350637.29
PSON.L,9.258B,2579340409.25
PTD.L,12.0M,1864564.79989
PTEC.L,1.796B,365915246.16
PUB.L,64.9M,9261572.17993
PURI.L,22.9M,2523685.93072
PVCS.L,28.5M,4011999.94082
PZC.L,1.497B,95249536.2568
QED.L,459.6M,54730245.2162
QRT.L,32.0M,1061206.33254
RAT.L,893.9M,54322157.3923
RBS.L,36.629B,3758350495.21
RCDO.L,325.9M,47330648.4866
RDI.L,683.4M,784108.653886
RDSA.L,152.0B,0
RDSB.L,159.7B,8932605080
RDW.L,957.4M,123455519.411
REC.L,73.3M,1848321.47196
REL.L,10.908B,2353963830.34
REX.L,3.686B,693919684.937
RGP.L,1.7M,16835.0498066
RGU.L,1.740B,193926521.621
RIO.L,57.964B,12137891344.9
RMG.L,4.980B,2772787657.99
RMV.L,2.141B,465214652.668
RNK.L,666.1M,29388237.0741
RNO.L,141.1M,11404843.7189
ROR.L,2.272B,329718478.917
RPC.L,1.052B,114419675.47
RPO.L,49.4M,8977603.47776
RPS.L,598.2M,80731226.3838
RRS.L,4.467B,2132614328.36
RSA.L,3.469B,304830.398627
RSW.L,1.187B,71017550.0077
RTN.L,1.168B,160830423.787
RTO.L,2.042B,317251564.451
RUS.L,559.4M,298514.253495
RWA.L,228.0M,32283782.9465
RYA.L,9.671B,2022382004.68
SAB.L,53.646B,25880683.9592
SBRY.L,5.973B,2404310924.71
SBS.L,39.5M,4104683.40334
SCL.L,127.5B,0
SDL.L,263.7M,81020995.0664
SDR.L,6.835B,633500019.397
SDRC.L,5.292B,60582345.3091
SDY.L,260.4M,93663998.3506
SEPU.L,206.5M,20192147.5986
SFI.L,238.0M,73262.7193058
SFR.L,165.9M,16849277.2129
SGC.L,2.183B,170724454.074
SGE.L,4.220B,810506619.603
SGP.L,839.7M,243468869.044
SHFT.L,6.5M,1652583.15048
SHI.L,1.111B,380742478.734
SHP.L,26.510B,5199403989.59
SIA.L,1.391B,127599273.104
SIE.L,81.788B,2935490650.33
SIG.L,5.142B,61742762.4938
SIGB.L,210.1M,6779045.4133
SIHL.L,376.1M,220648.972023
SIV.L,258.7M,38227356.3603
SKG.L,3.802B,431228870.219
SKP.L,114.2M,32909999.9787
SKS.L,413.6M,87877664.0264
SMDR.L,341.0M,88854075.4223
SMDS.L,2.672B,609822372.129
SMIN.L,5.045B,1005697217.77
SMJ.L,45.9M,1023171.66322
SMP.L,778.8M,98980665.5276
SMWH.L,1.292B,273573783.596
SNR.L,1.127B,114482357.943
SON.L,1.679T,0
SPD.L,4.159B,884169251.707
SPO.L,187.4M,23527573.2363
SPRT.L,514.5M,71705932.0346
SPT.L,575.1M,112215603.541
SPX.L,2.054B,286952950.026
SRP.L,1.775B,1166962521.28
SSE.L,15.236B,3070524177.84
STAN.L,29.128B,6790270647.89
STE.L,7.9M,52896.0697467
STHR.L,481.4M,19779183.4731
STJ.L,3.922B,772178199.859
STOB.L,454.2M,74148399.7538
STVG.L,142.5M,30997184.8252
STY.L,5.6M,2076962.8522
SUS.L,216.2M,7171022.21122
SVI.L,968.3M,1767726.11191
SVS.L,809.2M,106061818.172
SVT.L,4.545B,1149391091.15
SXS.L,2.634B,437015328.886
SYR.L,813.3M,133875603.777
TALK.L,2.944B,384205606.358
TALV.L,109.8M,27045229.5161
TATE.L,3.100B,1013550855.42
TCG.L,1.903B,1161879037.13
TCY.L,1.530B,549473861.807
TDE.L,57.090B,0
TEP.L,1.061B,122614399.959
TET.L,89.8M,25810532.7603
THT.L,71.3M,35953125.9989
TIG.L,404.1M,116124707.973
TLPR.L,580.4M,81665301.1213
TLW.L,7.674B,1964704.02619
TNI.L,347.4M,51710679.7461
TON.L,5.6M,620960.899434
TPK.L,3.952B,1183845390.49
TPL.L,58.4M,9769476.00296
TPT.L,199.8M,49777419.3621
TRB.L,161.4M,18869813.135
TRD.L,1.5M,174865.833061
TRI.L,139.9M,18060005.2946
TRK.L,42.8M,3668608.61108
TRS.L,226.2M,23012753.351
TSCO.L,23.103B,5678472075.72
TTA.L,119.3B,2445334997.34
TTG.L,299.5M,67223651.826
TXH.L,6.2M,205328.591936
TYMN.L,457.6M,60083600.1567
TYT.L,17.694T,42120111336.2
UBM.L,1.606B,426236865.845
UDG.L,822.7M,135088508.601
UKM.L,321.2M,18809657.7091
ULE.L,1.284B,150691570.666
ULVR.L,75.005B,6018616886.5
USY.L,1.481B,5678.75355108
UTG.L,793.6M,93250946.3329
UTV.L,199.4M,48296115.4607
VCT.L,1.424B,174796355.423
VEC.L,515.6M,87803207.3591
VED.L,3.010B,744325422.122
VIY.L,4.8M,7106613.44164
VLX.L,48.9M,13194473.1107
VOD.L,51.360B,11898073666.7
VSVS.L,1.229B,145994585.757
VTC.L,248.3M,61641097.3744
VZC.L,202.8B,3703753227.53
WCW.L,17.8M,2215282.49011
WEIR.L,5.558B,1538206576.63
WIL.L,166.2M,12939581.0474
WIN.L,160.4M,22670464.4028
WLF.L,269.8M,41554635.7425
WMH.L,2.816B,1608252837.58
WOS.L,8.593B,2299230080.72
WPP.L,16.661B,4189817324.58
WSL.L,4.8M,1041.71415781
WSP.L,9.7M,44038.4096917
WTB.L,7.873B,1607444881.52
WTM.L,15.8M,5458354.8837
XAR.L,403.1M,149547256.509
XCH.L,357.3M,53676033.6453
XPL.L,4.7M,2134270.40318
XPP.L,276.7M,58315806.4599
ZCC.L,316.5M,2800.91404209
ZHEH.L,2.411B,1133555.39195
ZTF.L,90.6M,5344810.03753
