Ticker,MarketCap,Turnover
CQR.AX,1.419B,3896693.85875
CRB.AX,4.5M,2607.16987847
CRL.AX,1.5M,421.568472222
CRM.AX,4.7M,450.926215278
CRQ.AX,916K,274.474496528
CRZ.AX,2.570B,8752919.96674
CSD.AX,12.5M,15652.0607639
CSE.AX,26.7M,29190.9196181
CSL.AX,32.436B,0
CSP.AX,8.4M,7676.68312757
CSS.AX,53.1M,228558.195245
CSV.AX,267.8M,307649.393576
CTD.AX,501.6M,705259.380729
CTE.AX,18.2M,10209.8879514
CTM.AX,12.7M,18238.0972569
CTO.AX,35.9M,23876.3145833
CTP.AX,102.0M,0
CTR.AX,11.9M,61271.4052272
CTT.AX,799K,186.255416667
CTX.AX,5.862B,11604708.0212
CTY.AX,1.688B,1035.34846163
CUE.AX,80.3M,40029.0547222
CUG.AX,888K,756.176059028
CUL.AX,10.6M,14857.1854479
CUP.AX,191.9M,101309.63637
CUU.AX,1.7M,1421.19565972
CUV.AX,65.0M,32630.2533333
CUX.AX,1.9M,3011.995
CVC.AX,171.9M,12728.879978
CVG.AX,3.5M,2666.1875
CVN.AX,78.4M,155434.410434
CVS.AX,608K,2.6736970782
CVV.AX,5.1M,13151.5863194
CVW.AX,348.8M,34552.0815278
CWE.AX,73.3M,95474.0704167
CWG.AX,3.0M,2486.75911458
CWN.AX,11.144B,23977276.8559
CWP.AX,536.0M,639001.686736
CXM.AX,28.2M,6070.27947917
CXO.AX,3.4M,30031.5074637
CXU.AX,58.8M,19560.5752431
CYC.AX,12.1M,1146.91898524
CYG.AX,108.0M,76643.0261285
CYL.AX,15.2M,495.89890625
CYO.AX,696K,1814.58618056
CYS.AX,3.5M,2247.32472222
CYU.AX,7.0M,3181.12342014
CYY.AX,455K,2319.06875
CZA.AX,73.4M,1979.73350694
CZD.AX,43.8M,30936.0461458
CZI.AX,8.6M,37382.0811625
CZN.AX,2.8M,39611.4392187
CZR.AX,20.8M,3895.49409722
CZZ.AX,50.6M,71322.3701215
DAU.AX,1.3M,1385.30130208
DCG.AX,307.0M,967958.763281
DCN.AX,33.6M,6589.77213284
DDD.AX,3.4M,876.140104167
DDR.AX,197.9M,18255.9888715
DDT.AX,13.3M,41277.0115184
DEG.AX,1.8M,0
DGH.AX,24.2M,12818.5575
DGO.AX,459K,0
DGR.AX,12.3M,11852.0046875
DGX.AX,19.3M,26010.6516761
DIG.AX,2.3M,5966.59645833
DIS.AX,1.2M,328.261772352
DJS.AX,2.117B,9955535.19333
DJW.AX,1.023B,416368.251683
DLC.AX,4.4M,1406.62927636
DLE.AX,15.5M,249.366927083
DLS.AX,648.7M,2300494.97139
DLX.AX,2.112B,6447384.99799
DMA.AX,2.4M,305.656875
DMG.AX,5.0M,0
DMI.AX,1.5M,703.224686214
DML.AX,15.1M,401929.375243
DMP.AX,1.891B,3132734.60026
DMY.AX,81.1M,3144.559375
DNA.AX,369.0M,1429193.92541
DOW.AX,1.995B,9115828.63892
DRA.AX,11.1M,3596.29791154
DRG.AX,1.1M,1443.35738021
DRK.AX,5.5M,32519.2678125
DRM.AX,119.9M,346694.204427
DRX.AX,4.9M,2572.08674093
DSB.AX,5.7M,6708.43104167
DSN.AX,1.6M,1010.49666667
DTE.AX,193.9M,319283.560556
DTL.AX,98.5M,201985.864896
DTM.AX,3.5M,4252.21583333
DUE.AX,2.982B,0
DUI.AX,616.4M,146666.153814
DUO.AX,1.1M,0
DVA.AX,13.6M,10485.81625
DVN.AX,158.7M,134640.934757
