Ticker,MarketCap,Turnover
MFG.PA,3.9M,7507.40953415
MGIC.PA,398.9M,439333.231177
MKEA.PA,130.9M,317216.421411
ML.PA,16.364B,49045562.2738
MLATV.PA,705K,317.750914725
MLBAT.PA,9.4M,1062.67281899
MLCAC.PA,6.9M,249.905098053
MLCFM.PA,487.1M,352.035363527
MLCMB.PA,57.5M,2098.41630924
MLCNT.PA,44.0M,6.4053993561
MLCVG.PA,372.0M,0
MLDAM.PA,2.4M,124.540314389
MLDIG.PA,1.0M,51.8890075454
MLDUR.PA,98.6M,457.349851705
MLDYN.PA,7.1M,212.963533552
MLERI.PA,1.1M,111.694473136
MLEXX.PA,295.6M,303.559706588
MLFMM.PA,116.1M,0
MLFST.PA,10.5M,2975.13904385
MLGEO.PA,3.2M,635.432152798
MLGES.PA,30.6M,143.879308836
MLGLO.PA,34K,105.025122109
MLIML.PA,1.8M,27.1923285657
MLION.PA,599K,98.2420650899
MLLOI.PA,1.9M,28.9565090133
MLNMA.PA,29K,844.270933632
MLNOV.PA,759.2M,221.087796082
MLOLM.PA,16.5M,2220.38310291
MLONE.PA,1.1M,67.1418191836
MLPAC.PA,1.4M,133.850877961
MLPFX.PA,12.0M,1201.32763782
MLPGO.PA,6.9M,262.383046515
MLPHW.PA,1.1M,385.166646242
MLQUD.PA,20.5M,364.583288855
MLROU.PA,1.7M,10.0152308258
MLSML.PA,4.3M,841.114126153
MLSRP.PA,3.1M,127.789954658
MLTRC.PA,7.2M,231.675349942
MLTRO.PA,1.2M,37.3814884193
MLUKA.PA,11.9M,2760.86808704
MLV4S.PA,8.8M,104.648852465
MLVES.PA,2.0M,1.2629259138
MLVIS.PA,1.4M,629.295285447
MLVLT.PA,102.1M,6370.58373651
MLWTT.PA,1.4M,5.8733390522
MLZAM.PA,211.6M,15305.5711851
MMB.PA,3.053B,9471185.29579
MMT.PA,1.879B,2674707.84458
MON.PA,722.4M,1917358.19471
MONC.PA,1.249B,0
MRB.PA,148.6M,52798.1841004
MRK.PA,125.4B,29736.8163022
MRN.PA,462.7M,553145.778523
MTU.PA,476.2M,323598.868787
MUN.PA,18.4M,25773.5033
NANO.PA,177.0M,1888198.98563
NEO.PA,1.873B,4999039.2799
NERG.PA,11.1M,431.446018102
NEX.PA,1.602B,6808004.8422
NK.PA,4.703B,5007071.07381
NRO.PA,351.1M,111402.231456
NRX.PA,515.9M,488576.075309
NSGP.PA,33.9M,838.217954236
NTG.PA,137.4M,92609.6859558
NXI.PA,1.608B,1744321.56941
NXTV.PA,362.0M,472337.367203
ODET.PA,4.248B,283901.699093
OLG.PA,35.0M,9610.73762714
OPN.PA,85.6M,70821.4553667
OR.PA,75.454B,76886080.6071
